	汉字	形声	形	声
0	一	0	NA	NA
1	丁	0	NA	NA
2	七	0	NA	NA
3	万	0	NA	NA
4	丈	0	NA	NA
5	三	0	NA	NA
6	上	0	NA	NA
7	下	0	NA	NA
8	不	0	NA	NA
9	与	0	NA	NA
10	丐	0	NA	NA
11	丑	0	NA	NA
12	专	0	NA	NA
13	且	0	NA	NA
14	丕	0	NA	NA
15	世	0	NA	NA
16	丘	0	NA	NA
17	丙	0	NA	NA
18	业	0	NA	NA
19	丛	0	NA	NA
20	东	0	NA	NA
21	丝	0	NA	NA
22	丞	1	廾	丞
23	両	0	NA	NA
24	丢	0	NA	NA
25	两	0	NA	NA
26	严	1	喦	敢
27	丧	1	亡	桑
28	丨	0	NA	NA
29	个	1	人	固
30	丫	0	NA	NA
31	中	0	NA	NA
32	丰	0	NA	NA
33	串	0	NA	NA
34	临	1	臣	品
35	丶	0	NA	NA
36	丸	1	𨸏	完
37	丹	0	NA	NA
38	为	0	NA	NA
39	主	0	NA	NA
40	丼	0	NA	NA
41	丽	0	NA	NA
42	举	1	手	與
43	丿	0	NA	NA
44	乂	0	NA	NA
45	乃	0	NA	NA
46	久	0	NA	NA
47	么	0	NA	NA
48	义	1	羊	我
49	之	0	NA	NA
50	乌	0	NA	NA
51	乍	0	NA	NA
52	乎	0	NA	NA
53	乏	0	NA	NA
54	乐	0	NA	NA
55	乒	0	NA	NA
56	乓	0	NA	NA
57	乔	0	NA	NA
58	乖	0	NA	NA
59	乗	0	NA	NA
60	乘	0	NA	NA
61	乙	0	NA	NA
62	乜	0	NA	NA
63	九	0	NA	NA
64	乞	0	NA	NA
65	也	0	NA	NA
66	习	1	日	彗
67	乡	0	NA	NA
68	书	0	NA	NA
69	乩	1	木	幾
70	买	0	NA	NA
71	乱	0	NA	NA
72	乳	0	NA	NA
73	乾	0	NA	NA
74	亀	0	NA	NA
75	了	0	NA	NA
76	予	0	NA	NA
77	争	0	NA	NA
78	事	0	NA	NA
79	二	0	NA	NA
80	于	0	NA	NA
81	亏	0	NA	NA
