Hanzi,label_index
丞,0
严,1
丧,2
个,3
临,4
举,5
义,6
习,7
乩,8
云,9
亭,10
亳,11
亵,12
亿,3
仁,3
仅,3
仇,3
仍,3
仔,3
仕,3
仗,3
仞,13
仟,14
代,3
们,3
任,3
份,3
仿,3
伉,15
伊,3
优,3
伟,3
传,3
伯,3
估,3
伴,3
伶,3
伸,3
伺,3
似,3
伽,3
佃,3
但,3
位,16
住,3
佐,3
佑,3
体,17
佗,3
佚,3
佛,3
佢,18
佣,3
佩,3
佬,3
佰,14
佳,3
佶,19
佻,3
佼,3
使,3
侈,3
例,3
侍,3
侏,20
侗,21
供,3
侠,3
侣,3
侥,3
侦,3
侧,3
侨,3
促,3
俄,3
俊,3
俏,3
俑,5
俗,3
俚,22
俞,23
俨,3
俩,3
俭,3
修,24
俯,25
俱,3
俳,5
俸,26
俺,3
倍,3
倏,27
倒,3
倔,3
倘,3
候,3
倚,3
倜,18
借,3
倡,3
倦,3
倬,8
值,3
偃,5
假,3
偈,3
偌,3
偎,3
偏,3
停,3
健,3
偶,3
偿,3
傀,3
傅,3
傍,3
傢,3
储,3
催,3
僖,28
僚,3
僧,3
僮,3
僵,3
僻,3
儆,29
儋,3
儒,3
儡,3
兀,14
光,30
党,31
公,32
兰,33
养,34
冈,35
冕,36
冗,5
写,37
军,25
冥,7
冯,38
冷,39
冻,39
冽,39
凋,39
凤,40
凯,41
凳,41
击,5
凿,42
切,43
刊,43
刎,44
划,43
创,43
判,43
刨,43
刮,43
到,45
券,43
刻,43
剃,43
削,43
剑,42
剔,43
剖,43
剩,43
副,43
剿,5
劈,43
劝,21
办,21
功,21
动,21
助,21
努,21
劭,46
励,21
劲,21
劾,8
势,21
勃,21
勇,21
勉,21
勋,21
勒,47
勘,21
募,21
勤,21
匈,48
匡,49
匣,35
匪,49
千,14
博,50
卦,51
卷,52
历,53
厉,54
压,29
厘,54
厢,55
厨,56
参,57
发,58
叔,59
叛,60
叩,52
叫,19
召,43
叭,19
叮,19
台,19
叻,47
吁,19
吃,19
吆,19
吋,19
吐,19
吓,19
吗,19
吝,19
吞,19
吧,19
吨,19
吩,19
含,19
吭,19
吮,26
吱,19
吵,19
吸,19
吼,19
吾,19
呀,19
呐,19
呓,19
呕,19
呢,19
呱,19
味,19
呵,19
呷,19
呼,19
咀,19
咁,61
咂,5
咆,19
咋,8
和,19
咐,19
咕,19
咖,19
咙,19
咚,19
咛,19
咦,19
咧,19
咨,19
咪,19
咫,62
咬,19
咭,19
咯,19
咳,19
咽,19
哀,19
哂,29
哄,19
哇,19
哈,19
哉,19
响,63
哎,19
哏,8
哑,19
哗,19
哟,19
哨,19
哩,19
哮,19
哺,19
哼,19
哽,19
唁,64
唆,19
唇,19
唉,19
唏,19
唐,19
唑,21
唔,19
唤,19
唧,19
唯,19
唰,37
唱,19
唳,3
唷,19
唾,19
啃,19
啄,19
啊,19
啖,26
啡,19
啤,19
啥,19
啦,19
啪,5
啲,19
啶,37
啷,26
啻,19
啼,19
啾,19
喀,19
喂,19
喃,19
喊,19
喋,29
喔,5
喘,19
喙,19
喝,19
喧,19
喳,19
喵,19
喷,19
喻,19
嗒,19
嗓,19
嗔,19
嗖,65
嗜,3
嗟,19
嗡,19
嗣,66
嗨,19
嗯,19
嗷,30
嗽,19
嘈,19
嘛,19
嘟,19
嘢,19
嘧,67
嘲,19
嘶,19
嘻,19
嘿,28
噎,19
噗,5
噙,42
噜,19
噢,19
噤,68
噬,19
嚎,19
嚓,37
嚟,19
嚷,19
囍,69
囗,70
团,70
囤,19
围,70
固,70
国,70
囿,70
圆,70
圈,70
圩,71
地,29
场,29
圾,29
均,29
坊,29
坍,29
坎,29
坏,29
坑,29
块,29
坛,29
坝,26
坞,29
坟,29
坠,29
坡,29
坦,29
坨,26
坪,29
坯,29
坳,5
坵,3
坷,29
垂,29
垃,29
垄,29
垚,5
垢,29
垣,29
垦,29
垫,29
垮,29
埔,29
埗,29
埠,29
埸,29
培,29
基,29
堂,72
堆,29
堇,73
堡,29
堤,29
堪,29
堰,26
塌,29
塑,29
塔,29
塘,29
填,29
境,29
墅,29
墉,29
墓,29
增,29
墟,29
墩,29
壁,29
壅,46
壆,30
壤,29
壹,74
处,3
复,75
夜,76
夥,77
夯,78
失,5
头,79
夸,16
奇,16
奈,68
奉,5
奕,80
奘,12
奢,16
奥,37
奶,81
奸,81
好,81
妃,81
妆,81
妈,81
妊,81
妒,81
妖,81
妙,81
妞,81
妣,81
妨,81
妩,81
妮,81
妲,18
妳,81
妹,81
姆,81
姊,81
始,81
姐,81
姑,81
姗,81
姚,81
姣,81
姨,81
姬,81
姿,81
娃,81
娅,81
娇,81
娑,81
娓,81
娘,81
娜,81
娟,81
娠,81
娥,81
娲,81
娴,81
娼,81
婀,82
婆,81
婉,81
婕,5
婧,81
婪,81
婶,81
婷,3
媒,81
媚,83
媞,5
媳,81
嫁,81
嫂,81
嫉,81
嫌,81
嫚,81
嫣,81
嫦,28
嬉,81
嬗,81
嬿,26
存,84
孜,65
孟,84
孩,84
孽,84
宅,37
宇,37
完,37
宏,37
宓,37
宕,37
定,37
宠,37
宣,37
宥,37
宪,85
宴,37
宵,37
宸,68
容,37
宽,37
寂,37
寄,37
密,86
寐,37
寓,37
察,37
寥,37
寮,37
寺,44
导,87
寿,88
将,56
尝,89
尬,90
尴,90
尻,3
尼,91
屁,91
层,91
屄,61
居,91
屈,92
届,91
屏,91
屐,93
屠,91
屡,91
屯,94
屹,35
屿,35
岁,95
岌,35
岑,61
岖,35
岗,35
岛,35
岭,35
岱,3
岸,54
峋,35
峒,21
峡,35
峨,35
峭,35
峰,35
峻,35
崆,96
崇,35
崎,35
崛,35
崭,35
崽,26
嵊,97
嵯,35
嶂,56
嶙,35
巍,98
巡,99
巧,100
巷,101
币,28
市,102
布,28
帆,28
希,28
帐,28
帕,28
帖,28
帘,78
帜,28
帮,103
常,28
帽,28
幅,28
幌,28
幔,28
幢,28
平,104
幼,105
庇,55
床,8
序,55
庐,55
应,61
庖,55
店,55
府,37
庞,0
度,44
庭,55
庵,82
庸,106
庹,5
廉,55
廊,55
廓,55
弊,0
式,100
弛,58
张,58
弧,58
弩,21
弯,58
弹,58
当,19
录,42
形,107
彦,108
彩,24
影,24
彼,109
往,109
径,109
待,109
徇,13
很,109
徉,109
徊,109
徐,110
徘,109
徜,28
御,52
徨,109
循,109
徼,26
徽,46
忆,61
忌,61
忍,61
忏,61
忐,29
忑,111
忖,19
忙,61
忡,61
忪,61
快,61
忱,61
忿,61
怂,61
怆,61
怎,61
怏,7
怒,61
怔,61
怕,61
怖,61
怙,13
怜,61
怠,61
怡,61
急,61
怨,61
怪,61
总,46
恁,61
恍,61
恕,61
恙,61
恚,29
恢,61
恨,61
恪,61
恫,21
恰,61
恳,61
恶,61
恸,61
恿,61
悄,61
悍,7
悔,61
悚,112
悟,61
悠,61
患,61
悦,61
您,61
悬,61
悯,61
悲,61
悴,61
悼,61
情,61
惆,78
惊,38
惋,61
惑,61
惕,61
惘,61
惜,61
惟,61
惠,61
惦,61
惨,61
惩,61
惭,61
惮,61
惯,61
想,61
惴,19
惶,61
惹,61
惺,61
愁,61
愉,61
愍,61
愚,61
感,61
愤,61
愫,65
愿,79
慈,61
慌,61
慎,61
慑,61
慕,61
慢,61
慧,61
慨,61
慰,61
慵,37
慷,61
憋,61
憎,61
憔,61
憧,61
憨,21
憬,61
憾,61
懂,61
懈,61
懊,61
懋,61
懒,61
懦,61
戏,113
戕,113
戚,113
戟,113
戡,21
截,113
戳,113
戴,114
房,115
扇,115
扉,116
扎,5
扑,5
扒,5
打,5
托,5
扛,26
扣,5
扦,14
扩,5
扭,5
扮,5
扯,5
扳,5
批,5
扼,5
找,5
技,5
抄,5
抉,5
把,5
抒,5
抓,5
抖,5
抗,5
折,117
抛,5
抢,5
护,13
披,5
抬,5
抱,5
抵,5
抹,5
押,5
抽,5
拆,5
拇,5
拈,5
拉,5
拌,5
拍,5
拐,5
拒,5
拔,5
拖,5
拗,5
拙,5
拜,5
拟,5
拢,5
拣,5
拥,5
拦,5
拨,5
择,0
括,5
拭,5
拮,19
拱,5
拳,5
拴,5
拷,5
拼,5
拽,26
拾,5
拿,5
持,5
挂,5
指,5
挈,118
按,5
挑,5
挖,5
挛,5
挞,5
挠,5
挡,5
挣,5
挤,5
挥,5
挨,5
挪,5
挫,5
振,0
挹,26
挺,5
挽,5
捅,5
捆,5
捉,5
捍,5
捎,8
捏,5
捐,5
捕,5
捞,5
损,5
换,5
捣,5
捧,5
捩,3
捱,5
捻,5
掀,5
掇,26
授,5
掉,5
掌,5
掏,5
排,5
掘,5
掠,5
探,5
掣,5
接,5
控,5
