	ID	汉字	常用	结构
0	1	一	1	单一
1	2	乙	1	单一
2	3	二	1	单一
3	4	十	1	单一
4	5	丁	1	单一
5	6	厂	1	单一
6	7	七	1	单一
7	8	卜	1	单一
8	9	八	1	单一
9	10	人	1	单一
10	11	入	1	单一
11	12	儿	1	单一
12	13	匕	2	单一
13	14	几	1	单一
14	15	九	1	单一
15	16	刁	2	单一
16	17	了	1	单一
17	18	刀	1	单一
18	19	力	1	单一
19	20	乃	1	单一
20	21	又	1	单一
21	22	三	1	单一
22	23	干	1	单一
23	24	于	1	单一
24	25	亏	1	单一
25	26	工	1	单一
26	27	土	1	单一
27	28	士	1	单一
28	29	才	1	单一
29	30	下	1	单一
30	31	寸	1	单一
31	32	大	1	单一
32	33	丈	1	单一
33	34	与	1	单一
34	35	万	1	单一
35	36	上	1	单一
36	37	小	1	单一
37	38	口	1	单一
38	39	山	1	单一
39	40	巾	1	单一
40	41	千	1	上下
41	42	乞	1	单一
42	43	川	1	单一
43	44	亿	1	左右
44	45	个	1	单一
45	46	夕	1	单一
46	47	久	1	单一
47	48	么	1	单一
48	49	勺	1	单一
49	50	凡	1	单一
50	51	丸	1	单一
51	52	及	1	单一
52	53	广	1	单一
53	54	亡	1	单一
54	55	门	1	单一
55	56	义	1	单一
56	57	之	1	单一
57	58	尸	1	单一
58	59	己	1	单一
59	60	已	1	单一
60	61	弓	1	单一
61	62	子	1	单一
62	63	卫	1	单一
63	64	也	1	单一
64	65	女	1	单一
65	66	刃	1	单一
66	67	飞	1	单一
67	68	习	1	单一
68	69	叉	1	单一
69	70	马	1	单一
70	71	乡	1	单一
71	72	丰	1	单一
72	73	王	1	单一
73	74	开	1	单一
74	75	井	1	单一
75	76	天	1	上下
76	77	夫	1	单一
77	78	元	1	单一
78	79	无	1	单一
79	80	云	1	单一
80	81	专	1	单一
81	82	丐	2	单一
82	83	扎	1	左右
83	84	艺	1	上下
84	85	木	1	单一
85	86	五	1	单一
86	87	支	1	上下
87	88	厅	1	左上包
88	89	不	1	单一
89	90	犬	1	单一
90	91	太	1	单一
91	92	区	1	半包
92	93	历	1	左上包
93	94	歹	2	单一
94	95	友	1	左上包
95	96	尤	1	单一
96	97	匹	1	半包
97	98	车	1	单一
98	99	巨	1	单一
99	100	牙	1	单一
100	101	屯	1	单一
101	102	戈	2	单一
102	103	比	1	左右
103	104	互	1	单一
104	105	切	1	左右
105	106	瓦	1	单一
106	107	止	1	单一
107	108	少	1	上下
108	109	日	1	单一
109	110	中	1	单一
110	111	贝	1	单一
111	112	冈	1	上三包
112	113	内	1	单一
113	114	水	1	单一
114	115	见	1	上下
115	116	午	1	单一
116	117	牛	1	单一
117	118	手	1	单一
118	119	气	1	单一
119	120	毛	1	单一
120	121	升	1	单一
121	122	夭	2	单一
122	123	长	1	单一
123	124	仁	1	左右
124	125	什	1	左右
125	126	片	1	单一
126	127	仆	1	左右
127	128	化	1	左右
128	129	仇	1	左右
129	130	币	1	上下
130	131	仍	1	左右
131	132	仅	1	左右
132	133	斤	1	单一
133	134	爪	1	单一
134	135	反	1	左上包
135	136	介	1	上下
136	137	父	1	单一
137	138	从	1	左右
138	139	仑	2	上下
139	140	今	1	上下
140	141	凶	1	下三包
141	142	分	1	上下
142	143	乏	1	单一
143	144	公	1	上下
144	145	仓	1	上下
145	146	月	1	单一
146	147	氏	1	单一
147	148	勿	1	右上包
148	149	欠	1	单一
149	150	风	1	上三包
150	151	丹	1	单一
151	152	匀	1	右上包
152	153	乌	1	单一
153	154	勾	1	右上包
154	155	凤	1	上三包
155	156	六	1	上下
156	157	文	1	单一
157	158	方	1	单一
158	159	火	1	单一
159	160	为	1	单一
160	161	斗	1	单一
161	162	忆	1	左右
162	163	计	1	左右
163	164	订	1	左右
164	165	户	1	单一
165	166	认	1	左右
